tier;score;distance;vocab_id;vocab_type;vocab_label;vocab_lang;artwork_count;edm_uri;edm_pref_label;edm_alt_label;edm_all_alts;already_in_db;notes
5;0.868;3;2102415;group;Kunsthandel A. Brod;nl;1;http://hdl.handle.net/10934/RM0001.PEOPLE.9140;Kunsthandel A. Spero;Spero, Kunsthandel A.;Spero, Kunsthandel A.;false;fuzzy token_set=86.48648648648648, ratio=87.17948717948718
5;0.841;3;2102415;group;Kunsthandel A. Brod;nl;1;http://hdl.handle.net/10934/RM0001.PEOPLE.6442;Kunsthandel S. Baron;Baron, Kunsthandel S.;Baron, Kunsthandel S.;false;fuzzy token_set=81.08108108108108, ratio=87.17948717948718
5;0.868;3;2102415;group;Kunsthandel A. Brod;nl;1;http://hdl.handle.net/10934/RM0001.PEOPLE.3698;Kunsthandel A. Bloch;Bloch, Kunsthandel A.;Bloch, Kunsthandel A.;false;fuzzy token_set=86.48648648648648, ratio=87.17948717948718
5;0.867;3;210111201;group;Kunsthandel L.J. Krüger;nl;1;http://hdl.handle.net/10934/RM0001.PEOPLE.16379;Kunsthandel L.A. Drager;Drager, Kunsthandel L.A.;Drager, Kunsthandel L.A.;false;fuzzy token_set=86.36363636363636, ratio=86.95652173913044
5;0.905;3;210111201;group;Kunsthandel L.J. Krüger;nl;1;http://hdl.handle.net/10934/RM0001.PEOPLE.72491;Kunsthandel J. Kugel;Kugel, Kunsthandel J.;"Kugel, Kunsthandel J.; Kunsthandel J. Kugel (I)";false;fuzzy token_set=92.6829268292683, ratio=88.37209302325581
5;0.905;3;210111201;group;Kunsthandel L.J. Krüger;nl;1;http://hdl.handle.net/10934/RM0001.PEOPLE.72491;Kunsthandel J. Kugel;Kunsthandel J. Kugel (I);"Kugel, Kunsthandel J.; Kunsthandel J. Kugel (I)";false;fuzzy token_set=92.6829268292683, ratio=88.37209302325581
5;0.857;3;210143929;group;Kunsthandel Leeman;nl;1;http://hdl.handle.net/10934/RM0001.PEOPLE.2852;Kunsthandel Legat;Legat, Kunsthandel;Legat, Kunsthandel;false;fuzzy token_set=85.71428571428571, ratio=85.71428571428572
5;0.872;3;210143929;group;Kunsthandel Leeman;nl;1;http://hdl.handle.net/10934/RM0001.PEOPLE.74016;Kunsthandel Heinemann;Heinemann, Kunsthandel;Heinemann, Kunsthandel;false;fuzzy token_set=87.17948717948718, ratio=87.17948717948718
5;0.857;3;210143929;group;Kunsthandel Leeman;nl;1;http://hdl.handle.net/10934/RM0001.PEOPLE.94716;Kunsthandel Essen;Essen, Kunsthandel;Essen, Kunsthandel;false;fuzzy token_set=85.71428571428571, ratio=85.71428571428572
5;0.857;3;210143929;group;Kunsthandel Leeman;nl;1;http://hdl.handle.net/10934/RM0001.PEOPLE.83911;Kunsthandel Almas;Almas, Kunsthandel;Almas, Kunsthandel;false;fuzzy token_set=85.71428571428571, ratio=85.71428571428572
