vocab_id,recovery_tier,label_en,label_nl,lat,lon,coord_method,coord_method_detail,placetype,placetype_source,broader_id,authority,auth_id,uri,resolved_at,evidence
330138398,external_authority,Funen,,,,,,http://vocab.getty.edu/aat/300008791,tgn,,tgn,7003472,http://vocab.getty.edu/tgn/7003472,2026-06-19T21:19:44Z,"Recovered label-less schema:Place stub via tgn 7003472: label='Funen', no coords, placetype=http://vocab.getty.edu/aat/300008791."
330138655,external_authority,Mondaino,,43.85,12.6833,deterministic,tgn_rdf_direct,http://vocab.getty.edu/aat/300008347,tgn,,tgn,1045438,http://vocab.getty.edu/tgn/1045438,2026-06-19T21:19:44Z,"Recovered label-less schema:Place stub via tgn 1045438: label='Mondaino', coords=(43.85,12.6833), placetype=http://vocab.getty.edu/aat/300008347."
330138666,external_authority,Sumba,,,,,,http://vocab.getty.edu/aat/300008791,tgn,,tgn,1009293,http://vocab.getty.edu/tgn/1009293,2026-06-19T21:19:44Z,"Recovered label-less schema:Place stub via tgn 1009293: label='Sumba', no coords, placetype=http://vocab.getty.edu/aat/300008791."
330138672,external_authority,California,,37.0,-119.0,deterministic,tgn_rdf_direct,http://vocab.getty.edu/aat/300000776,tgn,,tgn,7007157,http://vocab.getty.edu/tgn/7007157,2026-06-19T21:19:44Z,"Recovered label-less schema:Place stub via tgn 7007157: label='California', coords=(37.0,-119.0), placetype=http://vocab.getty.edu/aat/300000776."
330138806,external_authority,Nes,,53.45,5.766667,deterministic,tgn_rdf_direct,http://vocab.getty.edu/aat/300008347,tgn,,tgn,1137026,http://vocab.getty.edu/tgn/1137026,2026-06-19T21:19:44Z,"Recovered label-less schema:Place stub via tgn 1137026: label='Nes', coords=(53.45,5.766667), placetype=http://vocab.getty.edu/aat/300008347."
330141799,external_authority,Alkersum,,54.716667,8.516667,deterministic,tgn_rdf_direct,http://vocab.getty.edu/aat/300008347,tgn,,tgn,7060009,http://vocab.getty.edu/tgn/7060009,2026-06-19T21:19:44Z,"Recovered label-less schema:Place stub via tgn 7060009: label='Alkersum', coords=(54.716667,8.516667), placetype=http://vocab.getty.edu/aat/300008347."
330141808,external_authority,Mercatale,Mercatale,43.25773,12.13972,deterministic,wikidata_p625,,,,wikidata,Q17636395,http://www.wikidata.org/entity/Q17636395,2026-06-19T21:19:44Z,"Recovered label-less schema:Place stub via wikidata Q17636395: label='Mercatale', coords=(43.25773,12.13972)."
330141809,external_authority,Mercatale,,43.483333,11.566667,deterministic,tgn_rdf_direct,http://vocab.getty.edu/aat/300008347,tgn,,tgn,7056467,http://vocab.getty.edu/tgn/7056467,2026-06-19T21:19:44Z,"Recovered label-less schema:Place stub via tgn 7056467: label='Mercatale', coords=(43.483333,11.566667), placetype=http://vocab.getty.edu/aat/300008347."
330141840,external_authority,Sermoneta,,41.55,12.983333,deterministic,tgn_rdf_direct,http://vocab.getty.edu/aat/300008347,tgn,,tgn,7006725,http://vocab.getty.edu/tgn/7006725,2026-06-19T21:19:44Z,"Recovered label-less schema:Place stub via tgn 7006725: label='Sermoneta', coords=(41.55,12.983333), placetype=http://vocab.getty.edu/aat/300008347."
330141920,external_authority,Sharjah,,25.0,55.75,deterministic,tgn_rdf_direct,http://vocab.getty.edu/aat/300235104,tgn,,tgn,7000268,http://vocab.getty.edu/tgn/7000268,2026-06-19T21:19:44Z,"Recovered label-less schema:Place stub via tgn 7000268: label='Sharjah', coords=(25.0,55.75), placetype=http://vocab.getty.edu/aat/300235104."
