id,place_name,label_en,label_nl,external_id,category,artwork_count
2301184,Annet,,Annet,,no_external_id__used,3273
23021,unknown,unknown,onbekend,,no_external_id__used,3174
230193,"Dutch East Indies, The","Dutch East Indies, The","Nederlands-Indië",,no_external_id__used,2634
2307350,"Stadhuis van Amsterdam (1655-1808)",,"Stadhuis van Amsterdam (1655-1808)",,no_external_id__used,904
2304435,"Behouden Huys",,"Behouden Huys",,no_external_id__used,427
2307341,"Schouwburg Keizersgracht (1637-1772)",,"Schouwburg Keizersgracht (1637-1772)",,no_external_id__used,381
2308114,"Schouwburg Leidseplein (1774-1890)",,"Schouwburg Leidseplein (1774-1890)",,no_external_id__used,374
2307309,"Nieuwezijds Voorburgwal",,"Nieuwezijds Voorburgwal",,no_external_id__used,293
2309069,Abdijplein,,Abdijplein,,no_external_id__used,272
23010719,"Citadel van Antwerpen (19e eeuw)",,"Citadel van Antwerpen (19e eeuw)",,no_external_id__used,238
2307231,Binnen-Amstel,,Binnen-Amstel,,no_external_id__used,232
2301301,"Beurs van Berlage",,"Beurs van Berlage",,no_external_id__used,216
2307275,"Felix Meritis",,"Felix Meritis",,no_external_id__used,215
2306348,Weteringschans,,Weteringschans,,no_external_id__used,214
2307244,"Waag op de Dam",,"Waag op de Dam",,no_external_id__used,210
2308631,"Zuil van Trajanus",,"Zuil van Trajanus",,no_external_id__used,207
2308830,Tiber,,Tiber,,no_external_id__used,205
2304455,Gajoweg,,Gajoweg,,no_external_id__used,197
2307400,Haarlemmerpoort,,Haarlemmerpoort,,no_external_id__used,193
2306344,Oudeschans,,Oudeschans,,no_external_id__used,192
2306334,Schreierstoren,,Schreierstoren,,no_external_id__used,190
2307162,Hofvijver,,Hofvijver,,no_external_id__used,188
2307234,Botermarkt,,Botermarkt,,no_external_id__used,183
2301722,Verona,,Verona,,no_external_id__used,176
2308355,"Domkerk (Utrecht)",,"Domkerk (Utrecht)",,no_external_id__used,156
2307198,Hogesluis,,Hogesluis,,no_external_id__used,152
2309412,Leidsepoort,,Leidsepoort,,no_external_id__used,151
23016013,"Saint-Germain-des-Prés",,"Saint-Germain-des-Prés",,no_external_id__used,149
23011601,Burgerzaal,,Burgerzaal,,no_external_id__used,146
2307218,"'s Lands Zeemagazijn",,"'s Lands Zeemagazijn",,no_external_id__used,145
23012136,"Plantage Ma Retraite",,"Plantage Ma Retraite",,no_external_id__used,141
23015053,Brenta,,Brenta,,no_external_id__used,135
2307212,"Nieuwezijds Kapel",,"Nieuwezijds Kapel",,no_external_id__used,128
2307254,Brouwersgracht,,Brouwersgracht,,no_external_id__used,126
23012055,"Plantage Accaribo",,"Plantage Accaribo",,no_external_id__used,123
2307939,Lek,,Lek,,no_external_id__used,122
2307718,"Arch of Constantine","Arch of Constantine","Boog van Constantijn",,no_external_id__used,121
2301356,"Ruïne van Kasteel Brederode",,"Ruïne van Kasteel Brederode",,no_external_id__used,118
2307256,Lijnbaansgracht,,Lijnbaansgracht,,no_external_id__used,116
2302101,"Nieuwpoort (België)",,"Nieuwpoort (België)",,no_external_id__used,115
23018081,Ahmedabad,,Ahmedabad,,no_external_id__used,115
2309695,"Ronde Lutherse kerk",,"Ronde Lutherse kerk",,no_external_id__used,112
2309648,"Huis ter Nieuburch",,"Huis ter Nieuburch",,no_external_id__used,106
2305912,Burgerweeshuis,,Burgerweeshuis,,no_external_id__used,104
2302067,Kassel,,Kassel,,no_external_id__used,104
2307237,Geldersekade,,Geldersekade,,no_external_id__used,102
23014311,Nieuwmarktbuurt,,Nieuwmarktbuurt,,no_external_id__used,99
23011552,"Jan Roodenpoortstoren",,"Jan Roodenpoortstoren",,no_external_id__used,97
2307412,Zeedijk,,Zeedijk,,no_external_id__used,96
23010430,"Paleis Honselaarsdijk",,"Paleis Honselaarsdijk",,no_external_id__used,96
23013057,Hofburg,,Hofburg,,no_external_id__used,95
230757,Ecuador,,Ecuador,,no_external_id__used,93
23015637,"Boog van Titus",,"Boog van Titus",,no_external_id__used,90
2307220,"Naatje op de Dam",,"Naatje op de Dam",,no_external_id__used,90
230934,Doggersbank,,Doggersbank,,no_external_id__used,90
23010239,Lampong,,Lampong,,no_external_id__used,88
2307687,Westertoren,,Westertoren,,no_external_id__used,85
230935,Sint-Eustatius,,Sint-Eustatius,,no_external_id__used,84
23016794,"Harvard College",,"Harvard College",,no_external_id__used,84
2301359,IJssel,,IJssel,,no_external_id__used,84
2307317,"Waag op de Botermarkt",,"Waag op de Botermarkt",,no_external_id__used,83
2309122,Leprozenhuis,,Leprozenhuis,,no_external_id__used,81
2301510,Oost-Sumatra,,Oost-Sumatra,,no_external_id__used,81
2307283,Leidsegracht,,Leidsegracht,,no_external_id__used,81
2307181,"Mozes en Aäronkerk",,"Mozes en Aäronkerk",,no_external_id__used,81
