vocab_int_id	label_nl	label_en	df
23320	overzeese geschiedenis		10961
31894	politieke geschiedenis		7047
30710	economische geschiedenis		6431
24328	maritieme geschiedenis		6251
28893	kostuum	costume	6236
31703	sociale geschiedenis		5223
31793	militaire geschiedenis	military history	4047
23335	cultuurgeschiedenis		2024
35817	tentoonstelling		2022
36392	oorlog		1992
37209	portret	portrait	1334
31843	institutionele geschiedenis		1244
36853	marine		935
25834	portret- en familiefotografie		847
24282	religieuze geschiedenis		828
28412	familiegeschiedenis		823
23194	landmacht		793
31798	Koninklijk Huis		748
36791	koloniale geschiedenis		694
27668	lokaal bestuur		601
25126	dagelijks leven		577
35674	demonstratie		550
35119	gilde		543
24588	landschap	landscape	537
30093	gevangenis		535
27067	suikerindustrie		521
35200	huwelijk		510
36107	rook- en tabakwaar		496
36581	slavernij		484
34828	schutterij		428
24687	infrastructuur		421
29859	rechtsgeschiedenis		417
31591	vrede		416
25548	historiestuk	history painting	414
37127	bedrijfsgeschiedenis		395
23727	sociale zorg		393
32129	volksvertegenwoordiging		389
30941	sociale groep		385
31856	rubbercultuur		377
32670	Nederlands bestuur in Indonesië		371
30101	reizen		360
33724	mijnbouw		358
29802	vakantie		351
28319	kleding		349
27613	kerk	church	335
36093	jongeren		321
30797	wetenschapsgeschiedenis		320
25691	plantage		312
24378	spoorweg	railroad	311
36827	personen van Afrikaanse oorsprong		304
36467	regering		302
23955	protestantisme		300
28562	bord (vaatwerk)	plate (dishes)	299
31164	haven	harbor	298
292145		24014	296
27829	tinwinning		294
31490	verzet		293
32771	reclame		285
34033	beleg		284
36882	vogel		277
26573	genrestuk	genre painting	272
292541		24051	267
36940	muziek		267
28208	agrarische geschiedenis		263
28534	scherf		259
34141	klederdracht		255
30567	economie		254
23490	internationale geschiedenis		250
32206	recreatie		246
31088	katholicisme		230
32855	financiële geschiedenis		225
28582	onderwijs		223
293118		2402478	215
31220	scheepvaart		215
37108	feest		211
35965	revolutie		207
23450	etnische minderheden		204
27767	genootschap		202
34320	overstroming		200
28314	verkeer en vervoer		198
36172	schilderij	painting	194
30258	vredesbeweging		194
28056	krijgsgevangenenkamp		190
27645	contractarbeiders		190
36875	uniform	uniform	189
26748	dienstverlenende institutie		189
24095	allochtonen		187
30434	internationale betrekkingen		186
30168	Marrons		186
24881	brandweer		186
36320	zeeslag		184
32568	radio en televisie		182
36138	eenheidsstaat		181
27425	bezetting		180
28173	immigranten		179
27607	vroedschap		179
30404	bevrijding		178
29378	inhuldiging		178
36513	krijgswezen		177
24299	industrie		173
