# Country QID → ISO 3166-1 alpha-2 code.
# Source: Wikidata SPARQL (P31/P279* Q6256 + P297) + hand-curated supplements.
# Used by scripts/geocode_places.py phase_3b_whg for #257 layer B.
# Format: qid<TAB>iso2
Q228	AD
Q878	AE
Q889	AF
Q781	AG
Q222	AL
Q399	AM
Q916	AO
Q414	AR
Q40	AT
Q408	AU
Q21203	AW
Q227	AZ
Q225	BA
Q244	BB
Q902	BD
Q31	BE
Q965	BF
Q219	BG
Q398	BH
Q967	BI
Q962	BJ
Q921	BN
Q750	BO
Q155	BR
Q778	BS
Q917	BT
Q963	BW
Q184	BY
Q242	BZ
Q16	CA
Q974	CD
Q30988	CD
Q929	CF
Q971	CG
Q39	CH
Q1008	CI
Q26988	CK
Q298	CL
Q1009	CM
Q148	CN
Q739	CO
Q800	CR
Q241	CU
Q1011	CV
Q25279	CW
Q229	CY
Q213	CZ
Q183	DE
Q977	DJ
Q35	DK
Q784	DM
Q786	DO
Q262	DZ
Q736	EC
Q191	EE
Q79	EG
Q986	ER
Q29	ES
Q115	ET
Q33	FI
Q712	FJ
Q702	FM
Q4628	FO
Q142	FR
Q1000	GA
Q145	GB
Q21	GB
Q22	GB
Q25	GB
Q26	GB
Q769	GD
Q230	GE
Q117	GH
Q1410	GI
Q223	GL
Q1005	GM
Q1006	GN
Q983	GQ
Q41	GR
Q774	GT
Q1007	GW
Q734	GY
Q783	HN
Q224	HR
Q790	HT
Q28	HU
Q252	ID
Q27	IE
Q801	IL
Q668	IN
Q796	IQ
Q794	IR
Q189	IS
Q38	IT
Q766	JM
Q810	JO
Q17	JP
Q114	KE
Q813	KG
Q424	KH
Q710	KI
Q970	KM
Q763	KN
Q423	KP
Q884	KR
Q817	KW
Q232	KZ
Q819	LA
Q822	LB
Q760	LC
Q347	LI
Q854	LK
Q1014	LR
Q1013	LS
Q37	LT
Q32	LU
Q211	LV
Q1016	LY
Q1028	MA
Q235	MC
Q217	MD
Q236	ME
Q1019	MG
Q709	MH
Q221	MK
Q912	ML
Q836	MM
Q711	MN
Q1025	MR
Q233	MT
Q1027	MU
Q826	MV
Q1020	MW
Q96	MX
Q833	MY
Q1029	MZ
Q1030	NA
Q1032	NE
Q1033	NG
Q811	NI
Q29999	NL
Q55	NL
Q20	NO
Q837	NP
Q697	NR
Q34020	NU
Q664	NZ
Q842	OM
Q804	PA
Q419	PE
Q691	PG
Q928	PH
Q843	PK
Q36	PL
Q219060	PS
Q45	PT
Q695	PW
Q733	PY
Q846	QA
Q218	RO
Q403	RS
Q159	RU
Q2895	RU
Q153136	RU
Q1037	RW
Q851	SA
Q685	SB
Q1042	SC
Q1049	SD
Q34	SE
Q334	SG
Q215	SI
Q214	SK
Q1044	SL
Q238	SM
Q1041	SN
Q1045	SO
Q730	SR
Q958	SS
Q1039	ST
Q792	SV
Q26273	SX
Q858	SY
Q1050	SZ
Q657	TD
Q945	TG
Q869	TH
Q863	TJ
Q574	TL
Q874	TM
Q948	TN
Q678	TO
Q43	TR
Q754	TT
Q672	TV
Q865	TW
Q924	TZ
Q212	UA
Q1036	UG
Q30	US
Q77	UY
Q265	UZ
Q237	VA
Q757	VC
Q717	VE
Q881	VN
Q686	VU
Q683	WS
Q1246	XK
Q805	YE
Q258	ZA
Q953	ZM
Q954	ZW
